Babjeviella inositovora
Neosetophoma samarorum
Guyanagaster necrorhizus
Diaporthe ambigua
Bannoa hahajimensis
Capulatispora sagittiformis
Tetraploa yunnanensis
Arachnomyces pilosus
Sarocladium strictum
Tarzetta alnicola
Chaetomium subaffine
Botryosphaeria wangensis
Lentithecium aquaticum
Endoraecium disparrimum
Phacidium pseudophacidioides
Clonostachys rosea
Yamadazyma scolyti
Arthrinium phragmites
Neosulcatispora agaves
Ambrosiozyma vanderkliftii
Cercospora euphorbiae-sieboldianae
Diaporthe sclerotioides
Colletotrichum hippeastri
Aspergillus anthodesmis
Pseudostanjehughesia lignicola
Trechispora havencampii
Colletotrichum euphorbiae
Peroneutypa indica
Hypomyces fistulina
Colletotrichum godetiae
Codinaea yunnanensis
Talaromyces primulinus
Neocladosporium syringae
Psathyrella secotioides
Mucor pseudolusitanicus
Gloniopsis calami
Dothiora aloidendri
Talaromyces boninensis
Camarosporidiella halimodendri
Verticillium isaacii
Hypomyces laeticolor
Elsinoe banksiigena
Caryophylloseptoria pseudolychnidis
Clypeosphaerella quasiparkii
Rhytisma filamentosum
Helicoarctatus aquaticus
Lentomitella magna
Leucoagaricus sultanii
Vermispora fusarina
Conioscypha bambusicola
